iter	Passed	Remaining
399	40584	35815
400	40685	35714
401	40785	35611
402	40883	35507
403	40982	35403
404	41084	35302
405	41206	35218
406	41310	35119
407	41410	35016
408	41513	34915
409	41630	34827
410	41760	34749
411	41867	34652
412	41965	34547
413	42067	34446
414	42169	34345
415	42271	34244
416	42372	34141
417	42466	34034
418	42563	33928
419	42670	33831
420	42771	33729
421	42872	33627
422	42970	33523
423	43077	33425
424	43189	33332
425	43288	33228
426	43391	33128
427	43493	33026
428	43589	32920
429	43690	32818
430	43794	32718
431	43898	32619
432	44007	32522
433	44111	32423
434	44217	32324
435	44317	32221
436	44422	32122
437	44527	32023
438	44632	31923
439	44761	31841
440	44864	31741
441	44962	31636
442	45064	31534
443	45165	31432
444	45266	31330
445	45367	31228
446	45465	31124
447	45561	31018
448	45662	30916
449	45773	30820
450	45876	30720
451	45977	30617
452	46086	30520
453	46192	30421
454	46300	30324
455	46402	30222
456	46501	30118
457	46607	30020
458	46704	29915
459	46830	29828
460	46924	29722
461	47022	29618
462	47117	29512
463	47220	29411
464	47328	29312
465	47429	29210
466	47534	29110
467	47638	29010
468	47741	28909
469	47844	28808
470	47941	28703
471	48043	28602
472	48141	28498
473	48247	28398
474	48349	28297
475	48451	28195
476	48552	28093
477	48650	27989
478	48751	27887
479	48856	27786
480	48955	27683
481	49069	27588
482	49186	27495
483	49297	27398
484	49407	27301
485	49514	27202
486	49614	27099
487	49719	26999
488	49821	26897
489	49922	26794
490	50017	26689
491	50122	26589
492	50223	26486
493	50324	26384
494	50427	26283
495	50526	26179
496	50629	26078
497	50727	25975
498	50830	25873
499	50937	25774
500	51041	25673
501	51149	25574
502	51251	25473
503	51375	25381
504	51485	25284
505	51590	25183
506	51692	25081
507	51791	24978
508	51900	24879
509	52004	24778
510	52109	24678
511	52218	24579
512	52356	24494
513	52468	24397
514	52569	24294
515	52670	24191
516	52768	24087
517	52868	23984
518	52966	23880
519	53093	23789
520	53219	23698
521	53343	23605
522	53462	23511
523	53574	23413
524	53678	23311
525	53789	23213
526	53901	23115
527	54005	23013
528	54109	22912
529	54208	22808
530	54306	22704
531	54405	22600
532	54507	22498
533	54606	22394
534	54716	22295
535	54819	22193
536	54918	22089
537	55018	21987
538	55117	21883
539	55223	21782
540	55331	21682
541	55436	21581
542	55545	21481
543	55649	21379
544	55752	21277
545	55855	21176
546	55959	21074
547	56062	20972
548	56164	20869
549	56274	20770
550	56377	20668
551	56478	20565
552	56572	20460
553	56675	20358
554	56795	20262
555	56890	20157
556	56987	20053
557	57078	19946
558	57174	19842
559	57265	19736
560	57363	19632
561	57453	19525
562	57542	19419
563	57639	19315
564	57734	19210
565	57831	19106
566	57929	19003
567	58031	18901
568	58133	18798
569	58231	18695
570	58335	18593
571	58434	18490
572	58524	18384
573	58612	18278
574	58699	18171
575	58784	18064
576	58873	17957
577	58968	17853
578	59061	17749
579	59156	17644
580	59255	17542
581	59363	17441
582	59463	17339
583	59566	17237
584	59665	17134
585	59763	17031
586	59855	16926
587	59945	16821
588	60037	16716
589	60134	16613
590	60236	16511
591	60330	16407
592	60424	16303
593	60515	16198
594	60608	16094
595	60700	15989
596	60799	15887
597	60894	15783
598	60988	15679
599	61084	15576
600	61175	15471
601	61275	15369
602	61366	15265
603	61465	15162
604	61566	15060
605	61667	14958
606	61759	14854
607	61847	14749
608	61939	14645
609	62041	14544
610	62135	14440
611	62237	14338
612	62341	14237
613	62437	14134
614	62536	14032
615	62629	13928
616	62719	13824
617	62812	13721
618	62907	13618
619	62996	13513
620	63087	13409
621	63173	13305
622	63261	13200
623	63355	13097
624	63455	12995
625	63554	12893
626	63651	12791
627	63753	12689
628	63856	12588
629	63952	12485
630	64048	12383
631	64157	12283
632	64260	12182
633	64347	12077
634	64445	11975
635	64537	11872
636	64641	11771
637	64743	11670
638	64847	11568
639	64953	11468
640	65051	11366
641	65154	11265
642	65255	11163
643	65354	11061
644	65447	10958
645	65539	10855
646	65643	10754
647	65743	10652
648	65842	10551
649	65938	10448
650	66029	10345
651	66123	10243
652	66219	10140
653	66318	10039
654	66414	9936
655	66511	9834
656	66605	9732
657	66702	9630
658	66801	9528
659	66908	9428
660	67014	9327
661	67116	9225
662	67211	9123
663	67307	9021
664	67395	8918
665	67485	8815
666	67576	8713
667	67670	8610
668	67764	8508
669	67860	8406
670	67955	8304
671	68046	8202
672	68142	8100
673	68242	7998
674	68342	7897
675	68440	7795
676	68534	7693
677	68622	7591
678	68712	7488
679	68802	7386
680	68891	7283
681	68989	7182
682	69081	7080
683	69174	6978
684	69279	6877
685	69376	6775
686	69478	6674
687	69576	6573
688	69671	6471
689	69775	6370
690	69867	6268
691	69967	6167
692	70060	6065
693	70158	5964
694	70255	5863
695	70348	5761
696	70438	5659
697	70527	5557
698	70614	5455
699	70704	5353
700	70795	5251
701	70887	5149
702	70980	5048
703	71077	4947
704	71169	4845
705	71260	4743
706	71354	4642
707	71453	4541
708	71557	4440
709	71654	4339
710	71752	4238
711	71846	4137
712	71940	4035
713	72036	3934
714	72136	3833
715	72240	3733
716	72338	3632
717	72447	3531
718	72542	3430
719	72638	3329
720	72730	3227
721	72822	3126
722	72917	3025
723	73012	2924
724	73105	2823
725	73192	2722
726	73279	2620
727	73368	2519
728	73465	2418
729	73558	2317
730	73652	2216
731	73747	2115
732	73845	2014
733	73938	1913
734	74034	1813
735	74172	1713
736	74273	1612
737	74370	1511
738	74478	1410
739	74575	1310
740	74669	1209
741	74775	1108
742	74874	1007
743	74962	906
744	75051	805
745	75147	705
746	75241	604
747	75330	503
748	75424	402
749	75518	302
750	75610	201
751	75704	100
752	75798	0
