iter	MultiClass
387	0.3633522282
388	0.3631926233
389	0.3629829329
390	0.3627883958
391	0.3627154977
392	0.3626061009
393	0.3622699948
394	0.3620394062
395	0.3618206015
396	0.3617020132
397	0.3614828981
398	0.3611868656
399	0.3609554917
400	0.3608010497
401	0.3606721832
402	0.3605362071
403	0.3604399637
404	0.3602644817
405	0.3600640713
406	0.3599643426
407	0.3598289841
408	0.3596194523
409	0.3594962521
410	0.3593657379
411	0.3592270792
412	0.359115011
413	0.3590395329
414	0.3589892027
415	0.3588989931
416	0.3587925911
417	0.3587207008
418	0.3585682749
419	0.3582937531
420	0.3581403799
421	0.3579641655
422	0.3578425084
423	0.3576600355
424	0.3574282849
425	0.3573695924
426	0.3571978625
427	0.3569762119
428	0.3568989535
429	0.3568369753
430	0.3566084181
431	0.3563907511
432	0.3562794043
433	0.3561245939
434	0.3558583561
435	0.3556555885
436	0.3554578614
437	0.3553652098
438	0.3552439481
439	0.3549997659
440	0.3548765941
441	0.3546543171
442	0.3545279642
443	0.3544145717
444	0.3543244041
445	0.3540842429
446	0.3539247093
447	0.3537052436
448	0.3536244237
449	0.3534426998
450	0.3532720514
451	0.3531595841
452	0.3530146832
453	0.3527789176
454	0.3526079474
455	0.352519602
456	0.3523765477
457	0.3522699493
458	0.3520830715
459	0.3519617385
460	0.3518053567
461	0.3517289668
462	0.3515386847
463	0.3514441679
464	0.3512396096
465	0.3511575927
466	0.3509613952
467	0.3507939377
468	0.3506865758
469	0.3505912811
470	0.3504837361
471	0.3503172515
472	0.3501993437
473	0.3498791228
474	0.3496530939
475	0.3493754948
476	0.3492611821
477	0.3492312347
478	0.3491169739
479	0.3489953476
480	0.3489422474
481	0.3487523488
482	0.3485892683
483	0.348544502
484	0.3482548185
485	0.3481509488
486	0.3480434498
487	0.3479585839
488	0.3478186835
489	0.3476685438
490	0.3476078162
491	0.3474358485
492	0.3473635981
493	0.3472500129
494	0.3471756269
495	0.3470186577
496	0.3469050647
497	0.3467581057
498	0.3465960979
499	0.3463397194
500	0.3460769494
501	0.3458339835
502	0.3456168936
503	0.3454933378
504	0.345259628
505	0.3450819138
506	0.3450124032
507	0.3449139543
508	0.3448196957
509	0.3445955132
510	0.3445217993
511	0.3443763451
512	0.344282941
513	0.3441228595
514	0.3439689408
515	0.3438105726
516	0.3436801522
517	0.3435669275
518	0.3435205017
519	0.3434371627
520	0.3432622803
521	0.3431411672
522	0.3430459288
523	0.3429104655
524	0.3428081425
525	0.3426453803
526	0.3424571471
527	0.3424127261
528	0.3421673518
529	0.3420453517
530	0.3419725482
531	0.3417868466
532	0.3416716378
533	0.3415756735
534	0.341216327
535	0.3411202456
536	0.3410220373
537	0.3409401766
538	0.3408396639
539	0.3406586223
540	0.3404711831
541	0.3404065346
542	0.3403502242
543	0.3401315148
544	0.3400244679
545	0.3397782221
546	0.3397088309
547	0.3394898359
548	0.3393857096
549	0.3393277743
550	0.3392792156
551	0.3391961253
552	0.3389942938
553	0.3388596374
554	0.3387853044
555	0.3386896879
556	0.3385718986
557	0.3385021279
558	0.3383199196
559	0.3382076198
560	0.3381172009
561	0.3379746843
562	0.3379319162
563	0.3377615337
564	0.3376518015
565	0.3375403862
566	0.3373916492
567	0.3372621935
568	0.3370589885
569	0.3369409505
570	0.336827627
571	0.3366809375
572	0.336549429
573	0.3362951235
574	0.3362144975
575	0.3361259907
576	0.3360624024
577	0.3358642196
578	0.3356875036
579	0.3355454032
580	0.3353248361
581	0.3351317061
582	0.3349915955
583	0.3347637723
584	0.3346422556
585	0.334527496
586	0.3344520301
587	0.3343296483
588	0.3341632561
589	0.3339552369
590	0.333800683
591	0.3336098053
592	0.3335228576
593	0.3333432899
594	0.3332580219
595	0.3332034343
596	0.3329858986
597	0.3328822517
598	0.3327133974
599	0.3326831202
600	0.3326095108
601	0.3324706423
602	0.3323793897
603	0.3322260585
604	0.3320677135
605	0.3318962393
606	0.3317686764
607	0.3316181568
608	0.3315449555
609	0.3314006003
610	0.3312939732
611	0.3311397048
612	0.3310775986
613	0.3310181139
614	0.3308464934
615	0.3307464458
616	0.3306292905
617	0.3305291355
618	0.3304386042
619	0.3302087738
620	0.3300948365
621	0.3300183564
622	0.3299213174
623	0.3298482377
624	0.3297099757
625	0.3294549636
626	0.3293648661
627	0.329245687
628	0.3290861422
629	0.3290413151
630	0.3289748726
631	0.3288546103
632	0.3287650882
633	0.3287193272
634	0.3285449682
635	0.3283757898
636	0.3282330687
637	0.3280300587
638	0.3279271892
639	0.3276366332
640	0.3275611411
641	0.3275195995
642	0.3274253651
643	0.3273786598
644	0.3273133276
645	0.3272414573
646	0.3270286659
647	0.3269424664
648	0.3267182808
649	0.3266246731
650	0.3265712242
651	0.326488758
652	0.3264106839
653	0.3263127094
654	0.3261757521
655	0.3260444055
656	0.3259881822
657	0.325959968
658	0.3258786848
659	0.3258045874
660	0.3257250926
661	0.3256529934
662	0.3253990638
663	0.3252301334
664	0.3251373068
665	0.3250641587
666	0.3249219179
667	0.324787643
668	0.3246265285
669	0.3245264246
670	0.324405251
671	0.3243353499
672	0.3242568723
673	0.3241035718
674	0.3239541463
675	0.3239329768
676	0.323796407
677	0.3237558388
678	0.3236598616
679	0.3235705996
680	0.3235304569
681	0.3233816392
682	0.3233066292
683	0.3232725598
684	0.3230714764
685	0.3229518143
686	0.3228574588
687	0.3227241913
688	0.3226274502
689	0.3225246907
690	0.32243468
691	0.3221915356
692	0.3220831261
693	0.3219356716
694	0.3217383024
695	0.321678451
696	0.3215972508
697	0.3214403747
698	0.3213310726
699	0.3211033456
700	0.3210467644
701	0.3208838841
702	0.3207471457
703	0.3206853218
704	0.3205420296
705	0.3204405373
706	0.3203570432
707	0.3202725634
708	0.3202244133
709	0.3201794778
710	0.3200072364
711	0.3198850232
712	0.319828992
713	0.3197734887
714	0.3197145382
715	0.3195833859
716	0.3194594744
717	0.3192073935
718	0.319108649
719	0.3189504594
720	0.3188348338
721	0.3187977422
722	0.3187589446
723	0.318674946
724	0.3185273063
725	0.3184771662
726	0.3184228184
727	0.3183279477
728	0.3182132767
729	0.3180891235
730	0.3180104611
731	0.3179034662
732	0.3177825441
733	0.3176930081
734	0.3176002202
735	0.3175111488
736	0.3172564221
737	0.3171493259
738	0.3169943071
739	0.3168774341
740	0.3167949558
741	0.3166895189
742	0.3165796107
743	0.3165192096
744	0.3164223002
745	0.3162312233
746	0.3160990856
747	0.3160358938
748	0.3159340891
749	0.3157799796
750	0.3156937922
751	0.3156295035
752	0.3155844231
